InternalName,卡牌名称,胜率,选取率,略过率
IAmInvincible,所向无敌,45.7,17.6,82.4
Begone,下去！,45.4,5.9,94.1
Terraforming,地形改造,45.3,9.7,90.3
SpectrumShift,光谱偏移,45.1,9.4,90.6
CosmicIndifference,宇宙冷漠,45.0,14.6,85.4
KnowThyPlace,何人僭越,44.1,14.7,85.3
Quasar,类星体,43.9,15.9,84.1
Monologue,独白,43.8,20.3,79.7
Royalties,王国资产,43.6,26.1,73.9
Furnace,熔炉,43.5,20.1,79.9
ManifestAuthority,君权自授,43.5,15.4,84.6
FeelNoPain,无惧疼痛,52.0,19.9,80.1
BattleTrance,战斗专注,51.7,40.4,59.6
Taunt,挑畔,49.8,28.9,71.1
Mangle,凌虐,49.6,14.3,85.7
SecondWind,重振精神,49.4,28.6,71.4
Spite,怨恨,49.4,19.8,80.2
Vicious,凶恶,49.1,23.2,76.8
OneTwoPunch,连环拳,49.1,28.0,72.0
Break,破击,48.8,0,0
ForgottenRitual,被遗忘的仪式,48.3,24.9,75.1
PommelStrike,剑柄打击,48.2,42.2,57.8
Corruption,腐化,61.8,0,0.0
MeteorShower,流星雨,58.4,0,0.0
Protector,守护者,54.3,0,0.0
Quadcast,四重释放,54.0,0,0.0
Relax,放松,46.1,0,0
NeowsFury,涅奥之怒,28.5,0.0,0.0
Poke,戳击,38.0,13.9,86.1
Flatten,重压,37.6,18.8,81.2
PullAggro,吸引仇恨,36.9,9.4,90.6
Reap,收割,36.5,3.9,96.1
DrainPower,能量汲取,35.5,13.5,86.5
BlightStrike,荒疫打击,32.6,12.3,87.7
Sow,播种,32.0,6.7,93.3
Bodyguard,护卫,29.7,100.0,0.0
Unleash,出击,29.5,0,0
DefendSilent,防御,28.3,0.0,100.0
StrikeSilent,打击,20.7,0.0,100.0
ExpectAFight,跃跃欲试,45.8,23.5,76.5
ShrugItOff,耸肩无视,45.3,28.4,71.6
Juggling,杂耍,45.1,10.1,89.9
Conflagration,焚烧,45.1,23.5,76.5
Bloodletting,放血,45.0,30.0,70.0
EvilEye,邪眼,44.7,13.4,86.6
Bully,欺凌,43.7,19.3,80.7
DemonForm,恶魔形态,43.4,27.8,72.2
BloodWall,血墙,43.3,10.4,89.6
Inflame,燃烧,43.1,27.8,72.2
Headbutt,头槌,43.1,10.7,89.3
Injury,受伤,23.5,0,0
Beckon,呼唤,20.0,0,0
Burn,灼伤,20.0,0,0
Dazed,晕眩,20.0,0,0
Debris,碎屑,20.0,0,0.0
FranticEscape,狂乱逃离,20.0,0,0
Infection,感染,20.0,0,0.0
Slimed,黏液,20.0,0,0.0
Soot,煤灰,20.0,0,0
SovereignBlade,君王之剑,20.0,0,0.0
Toxic,毒素,20.0,0,0.0
GlimpseBeyond,彼岸一瞥,71.0,54.5,45.5
BansheeCry,女妖之豪,70.7,21.0,79.0
ForbiddenGrimoire,禁忌魔典,70.3,0.0,0.0
Neurosurge,精神过载,63.1,49.8,50.2
Seance,降灵,62.7,43.6,56.4
Demesne,领域,62.4,53.5,46.5
LegionOfBone,骸骨军团,61.2,20.0,80.0
Oblivion,湮灭,59.8,41.3,58.7
SharedFate,命运同担,59.2,20.5,79.5
Transfigure,重构,57.7,38.9,61.1
Friendship,友谊,57.6,34.5,65.5
GrandFinale,华丽收场,54.6,17.4,82.6
Untouchable,触不可及,54.5,19.2,80.8
Envenom,涂毒,54.5,26.7,73.3
UpMySleeve,袖里乾坤,54.5,28.7,71.3
InfiniteBlades,无尽刀刃,53.3,17.7,82.3
LegSweep,扫腿,53.0,9.5,90.5
TheHunt,狩猎,52.4,21.5,78.5
MementoMori,铭记死亡,52.0,14.5,85.5
Finisher,终结技,51.9,17.7,82.3
Haze,迷雾,51.6,25.8,74.2
BubbleBubble,咕嘟冒泡,51.1,17.7,82.3
SuckerPunch,突然一拳,41.8,3.5,96.5
Skewer,串刺,41.8,3.1,96.9
Snakebite,蛇咬,41.7,5.5,94.5
Slice,切割,41.1,5.8,94.2
DeadlyPoison,致命毒药,40.2,12.8,87.2
Pounce,猛扑,38.9,7.5,92.5
DaggerSpray,匕首雨,38.0,8.2,91.8
Survivor,生存者,36.5,66.7,33.3
PoisonedStab,带毒刺击,36.0,9.8,90.2
Neutralize,中和,35.6,0,0.0
SetupStrike,预备打击,34.8,18.3,81.7
Anger,愤怒,34.6,12.8,87.2
Breakthrough,突破,34.6,15.0,85.0
Rampage,暴走,34.5,15.0,85.0
Stomp,踩踏,34.4,21.3,78.7
Cinder,余烬,33.7,5.2,94.8
IronWave,铁斩波,31.4,6.7,93.3
Bash,痛击,27.6,0,0.0
Squash,压扁,57.1,0.0,100.0
Exterminate,杀灭,53.5,18.2,81.8
Fuel,燃料,50.0,0,0
FeedingFrenzy,疯狂进食,49.0,0.0,100.0
Rebound,弹回,48.9,0.0,100.0
RipAndTear,狂乱撕扯,44.3,10.8,89.2
Caltrops,铁蒺藜,42.3,0.0,100.0
Clumsy,笨拙,42.0,0,0
Metamorphosis,羽化,41.4,0.0,100.0
Distraction,声东击西,40.9,0.0,100.0
Outmaneuver,抢占先机,40.9,0,0
Accuracy,精准,57.2,27.6,72.4
StormOfSteel,钢铁风暴,57.2,26.2,73.8
Acrobatics,杂技,56.3,52.3,47.7
Prepared,早有准备,56.2,46.7,53.3
Blur,残影,55.9,16.7,83.3
Speedster,速行者,55.8,14.0,86.0
Backflip,后空翻,55.6,25.2,74.8
HandTrick,手上技法,55.5,13.7,86.3
Nightmare,夜魇,55.2,19.0,81.0
PiercingWail,尖啸,54.8,22.6,77.4
Pinpoint,精密瞄准,54.8,18.7,81.3
Apparition,灵体,81.6,0.0,0.0
Apotheosis,神化,80.2,0.0,0.0
Whistle,吹哨,79.8,0,0.0
Wish,许愿,76.7,0.0,0.0
TheSealedThrone,封印王座,75.6,0,0.0
Maul,撕咬,73.4,0,0.0
WraithForm,幽魂形态,67.7,0,0.0
BrightestFlame,至亮之焰,67.5,0,0.0
Suppress,压制,67.4,0,0.0
BiasedCognition,偏差认知,63.6,1,0
Melancholy,忧郁,42.8,7.9,92.1
TheScythe,巨镰,42.6,15.9,84.1
Bury,埋葬,42.6,5.4,94.6
RightHandHand,得力助手,41.5,17.3,82.7
BoneShards,碎骨,40.5,13.5,86.5
Rattle,猛晃,39.6,14.0,86.0
NegativePulse,负能量脉冲,38.8,23.6,76.4
Defile,玷污,38.7,6.4,93.6
Reave,剥夺,38.7,16.1,83.9
Snap,响指,38.6,9.7,90.3
SicEm,紧追不放,38.2,18.7,81.3
Fetch,取回,47.8,23.8,76.2
PullFromBelow,亡魂牵引,47.4,7.2,92.8
Wisp,鬼火,46.9,34.5,65.5
Invoke,唤起,46.1,31.2,68.8
Scourge,鞭打,46.0,21.7,78.3
NoEscape,无处可逃,45.6,32.6,67.4
Deathbringer,死亡使者,44.9,29.0,71.0
DanseMacabre,死亡之舞,44.2,4.9,95.1
Fear,恐惧,44.2,8.1,91.9
Spur,增生,44.1,31.3,68.7
HighFive,击掌,43.5,13.5,86.5
BulletTime,子弹时间,50.8,18.1,81.9
Ricochet,连续反弹,50.6,15.3,84.7
Mirage,蜃景,50.4,14.3,85.7
NoxiousFumes,毒雾,50.4,20.4,79.6
Strangle,紧勒,49.6,14.0,86.0
Outbreak,毒性爆发,49.1,15.6,84.4
BladeDance,刀刃之舞,48.8,28.9,71.1
Deflect,偏折,48.8,9.5,90.5
Anticipate,预判,48.3,13.7,86.3
DaggerThrow,投掷匕首,48.1,18.0,82.0
CloakAndDagger,斗篷与匕首,48.0,16.2,83.8
FlameBarrier,火焰屏障,42.9,16.8,83.2
Stampede,惊逃,42.9,16.1,83.9
Whirlwind,旋风斩,42.1,21.3,78.7
